0.00    0.00
0.01	0.0054
0.02	0.0108
0.03	0.0162
0.04	0.0214
0.05	0.0266
0.06	0.0318
0.07	0.0372
0.08	0.0424
0.09	0.0478
0.10	0.0532
0.11	0.0586
0.12	0.0640
0.13	0.0692
0.14	0.0746
0.15	0.0798
0.16	0.0846
0.17	0.0890
0.18	0.0924
0.19	0.0954
0.20	0.0970
0.21	0.0980
0.22	0.0976
0.23	0.0968
0.24	0.0946
0.25	0.0922
0.26	0.0884
0.27	0.0848
0.28	0.0800
0.29	0.0758
0.30	0.0708
0.31	0.0668
0.32	0.0618
0.33	0.0576
0.34	0.0526
0.35	0.0482
0.36	0.0432
0.37	0.0388
0.38	0.0338
0.39	0.0294
0.40	0.0246
0.41	0.0202
0.42	0.0156
0.43	0.0112
0.44	0.0064
