0.433	6.399	-7.174
0.450	6.327	-7.183
0.467	6.300	-7.210
0.483	6.237	-7.237
0.500	6.183	-7.273
0.517	6.129	-7.318
0.533	6.049	-7.318
0.550	6.013	-7.354
0.567	5.941	-7.372
0.583	5.869	-7.398
0.600	5.807	-7.416
0.617	5.744	-7.416
0.633	5.645	-7.443
0.650	5.591	-7.443
0.667	5.520	-7.461
0.683	5.457	-7.461
0.700	5.376	-7.461
0.717	5.295	-7.470
0.733	5.224	-7.470
0.750	5.143	-7.470
0.767	5.080	-7.470
0.783	5.000	-7.470
0.800	4.928	-7.470
0.817	4.856	-7.470
0.833	4.784	-7.470
0.850	4.713	-7.461
0.867	4.641	-7.461
0.883	4.569	-7.461
0.900	4.506	-7.461
0.917	4.435	-7.461
0.933	4.363	-7.461
0.950	4.291	-7.461
0.967	4.219	-7.461
0.983	4.148	-7.461
1.000	4.085	-7.461
1.017	4.013	-7.461
1.033	3.959	-7.461
1.050	3.879	-7.461
1.067	3.807	-7.461
1.083	3.744	-7.461
1.100	3.668	-7.457
1.117	3.596	-7.448
1.133	3.533	-7.443
1.150	3.466	-7.443
1.167	3.399	-7.446
1.183	3.329	-7.443
1.200	3.264	-7.443
1.217	3.195	-7.437
1.233	3.130	-7.441
1.250	3.063	-7.439
1.267	2.993	-7.439
1.283	2.932	-7.437
1.300	2.863	-7.437
1.317	2.800	-7.432
1.333	2.737	-7.432
1.350	2.670	-7.428
1.367	2.601	-7.421
1.383	2.536	-7.425
1.400	2.477	-7.430
1.417	2.419	-7.430
1.433	2.347	-7.430
1.450	2.282	-7.430
1.467	2.226	-7.430
1.483	2.161	-7.428
1.500	2.101	-7.428
1.517	2.040	-7.425
1.533	1.973	-7.421
1.550	1.915	-7.419
1.567	1.856	-7.410
1.583	1.791	-7.401
1.600	1.731	-7.394
1.617	1.668	-7.389
1.633	1.619	-7.376
1.650	1.551	-7.363
1.667	1.491	-7.345
1.683	1.437	-7.327
1.700	1.379	-7.309
1.717	1.329	-7.291
1.733	1.278	-7.273
1.750	1.224	-7.248
1.767	1.173	-7.224
1.783	1.128	-7.199
1.800	1.074	-7.176
1.817	1.038	-7.152
1.833	0.993	-7.127
1.850	0.948	-7.098
1.867	0.908	-7.069
1.883	0.872	-7.044
1.900	0.836	-7.024
1.917	0.800	-6.993
1.933	0.773	-6.970
1.950	0.740	-6.941
1.967	0.708	-6.914
1.983	0.679	-6.892
2.000	0.648	-6.860
2.017	0.628	-6.840
2.033	0.603	-6.818
2.050	0.574	-6.793
2.067	0.563	-6.775
2.083	0.536	-6.748
2.100	0.520	-6.730
2.117	0.502	-6.710
2.133	0.487	-6.688
2.150	0.475	-6.672
2.167	0.460	-6.661
2.183	0.446	-6.638
2.200	0.439	-6.632
2.217	0.433	-6.618
2.233	0.419	-6.607
2.250	0.413	-6.596
2.267	0.408	-6.589
2.283	0.401	-6.582
2.300	0.401	-6.580
2.317	0.397	-6.573
2.333	0.392	-6.569
2.350	0.395	-6.573
2.367	0.395	-6.573
2.383	0.395	-6.573
2.400	0.397	-6.580
2.417	0.401	-6.585
2.433	0.404	-6.589
2.450	0.413	-6.600
2.467	0.415	-6.605
2.483	0.424	-6.616
2.500	0.430	-6.627
2.517	0.439	-6.638
2.533	0.455	-6.659
2.550	0.460	-6.668
2.567	0.473	-6.685
2.583	0.489	-6.703
2.600	0.504	-6.724
2.617	0.518	-6.744
2.633	0.536	-6.766
2.650	0.556	-6.786
2.667	0.576	-6.807
2.683	0.599	-6.831
2.700	0.619	-6.854
2.717	0.643	-6.878
2.733	0.673	-6.905
2.750	0.693	-6.921
2.767	0.729	-6.952
2.783	0.758	-6.979
2.800	0.789	-7.004
2.817	0.816	-7.029
2.833	0.852	-7.051
2.850	0.888	-7.080
2.867	0.928	-7.107
2.883	0.960	-7.134
2.900	1.000	-7.152
2.917	1.040	-7.179
2.933	1.083	-7.201
2.950	1.128	-7.224
2.967	1.170	-7.250
2.983	1.215	-7.268
3.000	1.260	-7.286
3.017	1.309	-7.311
3.033	1.356	-7.327
3.050	1.401	-7.345
3.067	1.457	-7.356
3.083	1.509	-7.374
3.100	1.560	-7.385
3.117	1.612	-7.401
3.133	1.661	-7.412
3.150	1.715	-7.419
3.167	1.769	-7.425
3.183	1.825	-7.432
3.200	1.874	-7.437
3.217	1.924	-7.443
3.233	1.984	-7.446
3.250	2.033	-7.448
3.267	2.085	-7.450
3.283	2.141	-7.452
3.300	2.193	-7.452
3.317	2.246	-7.454
3.333	2.298	-7.457
3.350	2.352	-7.457
3.367	2.401	-7.457
3.383	2.455	-7.454
3.400	2.506	-7.459
3.417	2.565	-7.459
3.433	2.607	-7.454
3.450	2.670	-7.454
3.467	2.713	-7.446
3.483	2.769	-7.446
3.500	2.816	-7.446
3.517	2.876	-7.454
3.533	2.926	-7.466
3.550	2.984	-7.470
3.567	3.031	-7.472
3.583	3.087	-7.470
3.600	3.141	-7.472
3.617	3.190	-7.472
3.632	3.246	-7.472
3.650	3.298	-7.472
3.665	3.349	-7.472
3.683	3.406	-7.477
3.698	3.455	-7.477
3.715	3.511	-7.477
3.732	3.567	-7.475
3.748	3.619	-7.479
3.765	3.668	-7.481
3.782	3.726	-7.479
3.798	3.780	-7.479
3.815	3.836	-7.479
3.832	3.883	-7.484
3.848	3.935	-7.486
3.865	3.991	-7.486
3.882	4.049	-7.486
3.898	4.098	-7.486
3.915	4.145	-7.488
3.932	4.201	-7.490
3.948	4.255	-7.493
3.965	4.305	-7.490
3.982	4.354	-7.490
3.998	4.414	-7.493
4.015	4.464	-7.493
4.032	4.520	-7.493
4.048	4.574	-7.486
4.065	4.627	-7.488
4.082	4.679	-7.493
4.098	4.733	-7.497
4.115	4.784	-7.497
4.132	4.843	-7.499
4.148	4.885	-7.499
4.165	4.941	-7.495
4.182	4.995	-7.493
4.198	5.049	-7.493
4.215	5.103	-7.493
4.232	5.152	-7.493
4.248	5.204	-7.493
4.265	5.251	-7.495
4.282	5.309	-7.493
4.298	5.356	-7.493
4.315	5.410	-7.495
4.332	5.459	-7.488
4.348	5.504	-7.484
4.365	5.553	-7.479
4.382	5.603	-7.472
4.398	5.647	-7.466
4.415	5.692	-7.457
4.432	5.739	-7.452
4.448	5.780	-7.448
4.465	5.825	-7.437
4.482	5.867	-7.425
4.498	5.908	-7.416
4.515	5.946	-7.405
4.532	5.982	-7.394
4.548	6.015	-7.378
4.565	6.049	-7.369
4.582	6.078	-7.356
4.598	6.112	-7.345
4.615	6.141	-7.329
4.632	6.170	-7.318
4.648	6.192	-7.309
4.665	6.226	-7.295
4.682	6.246	-7.286
4.698	6.268	-7.280
4.715	6.286	-7.271
4.732	6.307	-7.259
4.748	6.325	-7.255
4.765	6.334	-7.248
4.782	6.351	-7.237
4.798	6.367	-7.230
4.815	6.376	-7.224
4.832	6.387	-7.217
4.848	6.394	-7.212
4.865	6.396	-7.212
4.882	6.405	-7.208
4.898	6.405	-7.208
4.915	6.407	-7.208
4.932	6.407	-7.208
4.948	6.407	-7.208
